"section"  "terrain" "dens" "fpc"
  8 1  0 89
 11 1  0 89
148 1  0 89
154 1  0 89
174 1  0 89
241 1  0 89
242 1  0 89
 34 1  1 89
 41 1  1 89
190 1  1 89
227 1  1 89
240 1  1 89
266 1  1 89
189 1  2 89
229 1  2 89
256 1  4 89
 39 1  5 89
 22 1  6 89
  4 1  8 89
  3 2  0 61
 19 2  0 61
102 2  0 61
134 2  0 61
136 2  0 61
268 2  0 61
117 2  1 61
120 2  1 61
121 2  1 61
164 2  1 61
191 2  1 61
 99 2  2 61
131 2  2 61
145 2  2 61
168 2  2 61
172 2  2 61
267 2  2 61
104 2  3 61
159 2  3 61
 78 2 12 61
216 3  0 40
169 3  1 40
 49 3  3 40
 55 3  5 40
 73 3  6 40
 47 3  7 40
 43 3  8 40
 44 3 10 40
260 3 12 40
 88 3 13 40
 45 3 14 40
178 3 14 40
 86 3 15 40
 35 3 16 40
 95 3 16 40
 56 3 18 40
 93 3 19 40
 97 3 20 40
 76 3 21 40
258 3 21 40
 80 3 24 40
259 3 29 40
155 4  0 47
156 4  0 47
196 4  0 47
218 4  0 47
263 4  0 47
 72 4  1 47
181 4  1 47
193 4  1 47
124 4  2 47
202 4  3 47
195 4  4 47
 28 4  5 47
 91 4  5 47
182 4  5 47
183 4  5 47
194 4  5 47
  1 4  6 47
208 4  9 47
209 4 10 47
205 4 11 47
 20 4 13 47

